input,time,cpu,program
121216,225.269,A72,AES
121344,224.971,A72,AES
121472,225.035,A72,AES
121600,225.678,A72,AES
121728,225.971,A72,AES
121856,227.122,A72,AES
121984,226.1,A72,AES
122112,226.117,A72,AES
122240,226.574,A72,AES
122368,227.272,A72,AES
122496,226.288,A72,AES
122624,226.813,A72,AES
122752,226.958,A72,AES
122880,227.897,A72,AES
123008,227.816,A72,AES
123136,228.223,A72,AES
123264,228.735,A72,AES
123392,228.997,A72,AES
123520,228.696,A72,AES
123648,228.573,A72,AES
123776,228.948,A72,AES
123904,230.306,A72,AES
124032,229.67,A72,AES
124160,229.885,A72,AES
124288,230.052,A72,AES
124416,230.382,A72,AES
124544,230.221,A72,AES
124672,231.153,A72,AES
124800,231.545,A72,AES
124928,231.909,A72,AES
125056,231.531,A72,AES
125184,231.765,A72,AES
125312,233.58,A72,AES
125440,234.919,A72,AES
125568,235.289,A72,AES
125696,234.725,A72,AES
125824,235.728,A72,AES
125952,236.297,A72,AES
128,0.01,A72,MD5
256,0.008,A72,MD5
384,0.008,A72,MD5
512,0.015,A72,MD5
640,0.012,A72,MD5
768,0.014,A72,MD5
896,0.016,A72,MD5
1024,0.018,A72,MD5
1152,0.021,A72,MD5
1280,0.022,A72,MD5
1408,0.024,A72,MD5
1536,0.026,A72,MD5
1664,0.027,A72,MD5
1792,0.029,A72,MD5
1920,0.031,A72,MD5
2048,0.032,A72,MD5
2176,0.035,A72,MD5
2304,0.035,A72,MD5
2432,0.038,A72,MD5
2560,0.044,A72,MD5
2688,0.042,A72,MD5
2816,0.043,A72,MD5
2944,0.046,A72,MD5
3072,0.047,A72,MD5
3200,0.048,A72,MD5
3328,0.051,A72,MD5
3456,0.069,A72,MD5
3584,0.055,A72,MD5
3712,0.056,A72,MD5
3840,0.059,A72,MD5
3968,0.06,A72,MD5
4096,0.062,A72,MD5
4224,0.064,A72,MD5
4352,0.066,A72,MD5
4480,0.068,A72,MD5
4608,0.07,A72,MD5
4736,0.071,A72,MD5
4864,0.075,A72,MD5
4992,0.075,A72,MD5
5120,0.077,A72,MD5
5248,0.079,A72,MD5
5376,0.081,A72,MD5
5504,0.082,A72,MD5
5632,0.085,A72,MD5
5760,0.087,A72,MD5
5888,0.088,A72,MD5
6016,0.091,A72,MD5
6144,0.097,A72,MD5
6272,0.093,A72,MD5
6400,0.096,A72,MD5
6528,0.098,A72,MD5
6656,0.099,A72,MD5
6784,0.102,A72,MD5
6912,0.104,A72,MD5
7040,0.144,A72,MD5
7168,0.108,A72,MD5
7296,0.109,A72,MD5
7424,0.11,A72,MD5
7552,0.112,A72,MD5
7680,0.143,A72,MD5
7808,0.117,A72,MD5
7936,0.119,A72,MD5
8064,0.12,A72,MD5
8192,0.121,A72,MD5
8320,0.124,A72,MD5
8448,0.125,A72,MD5
8576,0.127,A72,MD5
8704,0.13,A72,MD5
8832,0.131,A72,MD5
8960,0.134,A72,MD5
9088,0.137,A72,MD5
9216,0.137,A72,MD5
9344,0.139,A72,MD5
9472,0.141,A72,MD5
9600,0.167,A72,MD5
9728,0.146,A72,MD5
9856,0.147,A72,MD5
9984,0.148,A72,MD5
10112,0.15,A72,MD5
10240,0.153,A72,MD5
10368,0.173,A72,MD5
10496,0.156,A72,MD5
10624,0.158,A72,MD5
